image_name,unet_vessel_pixel_count,unet_vessel_area_ratio,unet_vessel_density,att_vessel_pixel_count,att_vessel_area_ratio,att_vessel_density
0005_im.png,9508,0.1451,0.1451,11503,0.1755,0.1755
0009_im.png,9678,0.1477,0.1477,11496,0.1754,0.1754
0013_im.png,9248,0.1411,0.1411,11188,0.1707,0.1707
0015_im.png,9065,0.1383,0.1383,10850,0.1656,0.1656
0016_im.png,7427,0.1133,0.1133,10228,0.1561,0.1561
0022_im.png,9391,0.1433,0.1433,10683,0.163,0.163
0023_im.png,9711,0.1482,0.1482,11364,0.1734,0.1734
0060_im.png,6701,0.1022,0.1022,7740,0.1181,0.1181
0067_im.png,7752,0.1183,0.1183,9378,0.1431,0.1431
0075_im.png,8179,0.1248,0.1248,9175,0.14,0.14
0076_im.png,7151,0.1091,0.1091,8158,0.1245,0.1245
0084_im.png,6049,0.0923,0.0923,6665,0.1017,0.1017
0089_im.png,7229,0.1103,0.1103,8290,0.1265,0.1265
0093_im.png,8043,0.1227,0.1227,9350,0.1427,0.1427
0097_im.png,8204,0.1252,0.1252,10851,0.1656,0.1656
0101_im.png,9225,0.1408,0.1408,10245,0.1563,0.1563
0107_im.png,7551,0.1152,0.1152,8581,0.1309,0.1309
0117_im.png,7976,0.1217,0.1217,9389,0.1433,0.1433
0119_im.png,8642,0.1319,0.1319,9957,0.1519,0.1519
0120_im.png,7783,0.1188,0.1188,8570,0.1308,0.1308
0132_im.png,6205,0.0947,0.0947,6592,0.1006,0.1006
0133_im.png,4233,0.0646,0.0646,4310,0.0658,0.0658
0146_im.png,7070,0.1079,0.1079,8096,0.1235,0.1235
0149_im.png,4972,0.0759,0.0759,6391,0.0975,0.0975
0156_im.png,7307,0.1115,0.1115,8506,0.1298,0.1298
0159_im.png,7864,0.12,0.12,8506,0.1298,0.1298
0165_im.png,5605,0.0855,0.0855,6483,0.0989,0.0989
0172_im.png,6394,0.0976,0.0976,7385,0.1127,0.1127
0173_im.png,5844,0.0892,0.0892,7094,0.1082,0.1082
0178_im.png,7275,0.111,0.111,7740,0.1181,0.1181
0179_im.png,4857,0.0741,0.0741,5602,0.0855,0.0855
0180_im.png,5423,0.0827,0.0827,6601,0.1007,0.1007
0185_im.png,3326,0.0508,0.0508,3652,0.0557,0.0557
0187_im.png,6444,0.0983,0.0983,7742,0.1181,0.1181
0189_im.png,0,0.0,0.0,0,0.0,0.0
0190_im.png,0,0.0,0.0,0,0.0,0.0
0193_im.png,5946,0.0907,0.0907,6695,0.1022,0.1022
0194_im.png,7403,0.113,0.113,8250,0.1259,0.1259
0199_im.png,7004,0.1069,0.1069,8120,0.1239,0.1239
0201_im.png,8433,0.1287,0.1287,9697,0.148,0.148
0202_im.png,5778,0.0882,0.0882,7039,0.1074,0.1074
0208_im.png,6950,0.106,0.106,7954,0.1214,0.1214
0212_im.png,6637,0.1013,0.1013,7358,0.1123,0.1123
0219_im.png,6725,0.1026,0.1026,7286,0.1112,0.1112
0222_im.png,7909,0.1207,0.1207,8723,0.1331,0.1331
0231_im.png,8286,0.1264,0.1264,8940,0.1364,0.1364
0248_im.png,6872,0.1049,0.1049,7999,0.1221,0.1221
0252_im.png,8605,0.1313,0.1313,9599,0.1465,0.1465
0263_im.png,8189,0.125,0.125,9131,0.1393,0.1393
0266_im.png,8354,0.1275,0.1275,9368,0.1429,0.1429
0269_im.png,6846,0.1045,0.1045,7898,0.1205,0.1205
0283_im.png,7519,0.1147,0.1147,8326,0.127,0.127
0289_im.png,6630,0.1012,0.1012,7564,0.1154,0.1154
0290_im.png,8329,0.1271,0.1271,9270,0.1414,0.1414
0292_im.png,3788,0.0578,0.0578,4652,0.071,0.071
0295_im.png,7544,0.1151,0.1151,8995,0.1373,0.1373
0298_im.png,7897,0.1205,0.1205,8657,0.1321,0.1321
0303_im.png,1895,0.0289,0.0289,2587,0.0395,0.0395
0304_im.png,8007,0.1222,0.1222,8951,0.1366,0.1366
0310_im.png,7579,0.1156,0.1156,8586,0.131,0.131
0313_im.png,8592,0.1311,0.1311,9492,0.1448,0.1448
0314_im.png,2283,0.0348,0.0348,2388,0.0364,0.0364
0315_im.png,6674,0.1018,0.1018,7519,0.1147,0.1147
0316_im.png,7406,0.113,0.113,8445,0.1289,0.1289
0318_im.png,8092,0.1235,0.1235,9018,0.1376,0.1376
0319_im.png,8340,0.1273,0.1273,9412,0.1436,0.1436
0320_im.png,6666,0.1017,0.1017,7835,0.1196,0.1196
0334_im.png,8300,0.1266,0.1266,9434,0.144,0.144
0342_im.png,7369,0.1124,0.1124,8587,0.131,0.131
0346_im.png,7518,0.1147,0.1147,8677,0.1324,0.1324
0348_im.png,8180,0.1248,0.1248,9262,0.1413,0.1413
0352_im.png,6735,0.1028,0.1028,7982,0.1218,0.1218
0355_im.png,7782,0.1187,0.1187,9033,0.1378,0.1378
0377_im.png,4241,0.0647,0.0647,4740,0.0723,0.0723
0395_im.png,5234,0.0799,0.0799,6494,0.0991,0.0991
0397_im.png,6877,0.1049,0.1049,7828,0.1194,0.1194
0402_im.png,8376,0.1278,0.1278,9413,0.1436,0.1436
0410_im.png,8663,0.1322,0.1322,9507,0.1451,0.1451
0412_im.png,2564,0.0391,0.0391,3557,0.0543,0.0543
0415_im.png,6465,0.0986,0.0986,7861,0.1199,0.1199
0416_im.png,8667,0.1322,0.1322,9362,0.1429,0.1429
0419_im.png,5369,0.0819,0.0819,6002,0.0916,0.0916
0422_im.png,7515,0.1147,0.1147,9092,0.1387,0.1387
0427_im.png,7269,0.1109,0.1109,8017,0.1223,0.1223
0428_im.png,6784,0.1035,0.1035,8024,0.1224,0.1224
0429_im.png,5542,0.0846,0.0846,6709,0.1024,0.1024
0438_im.png,8780,0.134,0.134,9657,0.1474,0.1474
0450_im.png,7642,0.1166,0.1166,8353,0.1275,0.1275
0452_im.png,7118,0.1086,0.1086,8298,0.1266,0.1266
0453_im.png,8738,0.1333,0.1333,9752,0.1488,0.1488
0458_im.png,6550,0.0999,0.0999,7432,0.1134,0.1134
0463_im.png,8195,0.125,0.125,9462,0.1444,0.1444
0472_im.png,694,0.0106,0.0106,569,0.0087,0.0087
0477_im.png,6559,0.1001,0.1001,7419,0.1132,0.1132
0478_im.png,7716,0.1177,0.1177,8658,0.1321,0.1321
0479_im.png,7323,0.1117,0.1117,8404,0.1282,0.1282
0484_im.png,5551,0.0847,0.0847,6251,0.0954,0.0954
0485_im.png,3617,0.0552,0.0552,3832,0.0585,0.0585
0486_im.png,4052,0.0618,0.0618,5927,0.0904,0.0904
0490_im.png,9231,0.1409,0.1409,10312,0.1573,0.1573
0492_im.png,5229,0.0798,0.0798,6358,0.097,0.097
0493_im.png,655,0.01,0.01,1224,0.0187,0.0187
0499_im.png,4565,0.0697,0.0697,5062,0.0772,0.0772
0500_im.png,6861,0.1047,0.1047,7596,0.1159,0.1159
0507_im.png,569,0.0087,0.0087,922,0.0141,0.0141
0511_im.png,7742,0.1181,0.1181,8709,0.1329,0.1329
0520_im.png,5010,0.0764,0.0764,5043,0.077,0.077
0528_im.png,8169,0.1246,0.1246,9020,0.1376,0.1376
0529_im.png,4200,0.0641,0.0641,4834,0.0738,0.0738
0536_im.png,5885,0.0898,0.0898,4953,0.0756,0.0756
0538_im.png,8271,0.1262,0.1262,6662,0.1017,0.1017
0543_im.png,7032,0.1073,0.1073,5804,0.0886,0.0886
0551_im.png,6972,0.1064,0.1064,5676,0.0866,0.0866
0557_im.png,4005,0.0611,0.0611,3375,0.0515,0.0515
0558_im.png,8846,0.135,0.135,10164,0.1551,0.1551
0562_im.png,7914,0.1208,0.1208,9134,0.1394,0.1394
0566_im.png,6412,0.0978,0.0978,8129,0.124,0.124
0593_im.png,8571,0.1308,0.1308,10118,0.1544,0.1544
0597_im.png,7801,0.119,0.119,8584,0.131,0.131
