sim_id,lr,batch_size,pos_weight,best_val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,elapsed_sec
1,0.001,2,3.0,0.6137,0.448,0.9251,0.7918,0.9346,2687.8
2,0.001,2,5.0,0.5961,0.4295,0.9225,0.7617,0.9343,2719.9
3,0.001,2,7.0,0.5984,0.4319,0.9188,0.8036,0.9265,2684.2
4,0.001,4,3.0,0.5959,0.4294,0.9255,0.7286,0.9398,2382.5
5,0.001,4,5.0,0.5738,0.4073,0.909,0.819,0.9148,2389.6
6,0.001,4,7.0,0.5773,0.4104,0.9078,0.826,0.9132,2393.6
7,0.0005,2,3.0,0.5976,0.4309,0.919,0.798,0.9274,2693.3
8,0.0005,2,5.0,0.5978,0.4315,0.9157,0.8402,0.9206,2689.6
9,0.0005,2,7.0,0.5632,0.3975,0.8985,0.8518,0.9009,2679.6
10,0.0005,4,3.0,0.6073,0.4414,0.9235,0.7844,0.9334,2395.9
11,0.0005,4,5.0,0.5921,0.4249,0.9132,0.8494,0.9175,2390.6
12,0.0005,4,7.0,0.555,0.3884,0.8973,0.868,0.8991,2373.9
13,0.0001,2,3.0,0.5793,0.4124,0.9157,0.78,0.9255,2688.7
14,0.0001,2,5.0,0.5863,0.4199,0.9139,0.8157,0.9203,2695.3
15,0.0001,2,7.0,0.5406,0.3742,0.8929,0.8461,0.8955,2691.9
16,0.0001,4,3.0,0.5649,0.3984,0.9083,0.8155,0.9153,2417.7
17,0.0001,4,5.0,0.5419,0.3754,0.8928,0.8486,0.8951,2398.9
18,0.0001,4,7.0,0.5234,0.3584,0.8795,0.8749,0.8783,2420.8
