epoch,train_loss,train_dice,val_loss,val_dice
1,0.42267,0.562227,0.349704,0.626118
2,0.298115,0.682268,0.311789,0.666769
3,0.269408,0.711329,0.265007,0.73325
4,0.255446,0.72407,0.269245,0.722882
5,0.252177,0.728623,0.297608,0.702902
6,0.24557,0.734335,0.249865,0.739547
7,0.238674,0.740895,0.252298,0.742743
8,0.236573,0.742657,0.261456,0.750456
9,0.232109,0.747809,0.24931,0.736222
10,0.230873,0.74815,0.235298,0.741978
11,0.229727,0.749426,0.238371,0.748797
12,0.226957,0.751259,0.250581,0.733278
13,0.225262,0.753364,0.238874,0.748139
14,0.224096,0.753343,0.224438,0.750119
15,0.224635,0.753325,0.233254,0.755549
16,0.224554,0.752883,0.255705,0.738933
17,0.219858,0.757963,0.2286,0.757167
18,0.223594,0.754091,0.24532,0.736379
19,0.218862,0.758237,0.244787,0.752906
20,0.218055,0.75976,0.235654,0.74636
21,0.218156,0.758601,0.224657,0.750618
22,0.215546,0.761792,0.228549,0.755909
23,0.21663,0.760108,0.211075,0.77271
24,0.217219,0.759747,0.226828,0.750274
25,0.213961,0.762832,0.213948,0.771938
