epoch,train_loss,train_dice,val_loss,val_dice
1,0.473205,0.512153,0.367978,0.607129
2,0.316796,0.676609,0.290286,0.711765
3,0.273107,0.711586,0.270542,0.734065
4,0.253064,0.729901,0.241116,0.746945
5,0.245635,0.73559,0.243629,0.743152
6,0.237442,0.743309,0.225132,0.759271
7,0.235053,0.744359,0.236787,0.735873
8,0.228764,0.750973,0.234405,0.744364
9,0.22723,0.751696,0.252936,0.737247
10,0.226447,0.752488,0.235006,0.756502
11,0.222631,0.756863,0.221185,0.773728
12,0.221428,0.756317,0.22873,0.741214
13,0.221648,0.756038,0.231036,0.749152
14,0.216905,0.760766,0.240928,0.749554
15,0.219629,0.759166,0.248594,0.748526
16,0.215393,0.762095,0.220975,0.748952
17,0.215765,0.76129,0.215244,0.777985
18,0.215005,0.761604,0.201435,0.770779
19,0.214165,0.763236,0.231504,0.744482
20,0.212021,0.764827,0.253645,0.738586
21,0.212074,0.765632,0.217653,0.766907
22,0.213392,0.763115,0.225171,0.759713
23,0.209283,0.767886,0.214281,0.76382
24,0.209185,0.767768,0.227127,0.765126
25,0.207507,0.769052,0.228231,0.756654
