epoch,train_loss,train_dice,val_loss,val_dice
1,0.549926,0.407126,0.530258,0.446221
2,0.465422,0.497089,0.521755,0.475301
3,0.444703,0.518385,0.465553,0.520939
4,0.432801,0.530839,0.476814,0.488063
5,0.423168,0.541418,0.450729,0.536605
6,0.415705,0.549094,0.465077,0.535875
7,0.411258,0.553345,0.479543,0.467639
8,0.411292,0.553794,0.414021,0.553429
9,0.402668,0.563465,0.465229,0.542208
10,0.402154,0.563533,0.413552,0.557633
11,0.397067,0.568129,0.437302,0.556851
12,0.395671,0.57038,0.425653,0.576423
13,0.391046,0.57543,0.45357,0.540036
14,0.389014,0.577218,0.417733,0.561218
15,0.386012,0.579241,0.40957,0.571979
16,0.385803,0.580783,0.397426,0.571605
17,0.383194,0.58187,0.405153,0.568872
18,0.382224,0.583183,0.394458,0.56595
19,0.37962,0.58574,0.40654,0.560987
20,0.377384,0.587871,0.42293,0.553804
21,0.376218,0.588899,0.476517,0.531842
22,0.375735,0.589511,0.401089,0.581667
23,0.375377,0.589031,0.449166,0.55646
24,0.375289,0.589957,0.473347,0.541049
25,0.371714,0.592955,0.397186,0.568981
