epoch,train_loss,train_dice,val_loss,val_dice
1,0.621008,0.358208,0.546345,0.410844
2,0.487776,0.50947,0.464033,0.499077
3,0.407799,0.568356,0.410433,0.561236
4,0.37698,0.597288,0.359356,0.612637
5,0.362946,0.610747,0.411976,0.551697
6,0.356908,0.617591,0.361184,0.60844
7,0.350596,0.621623,0.337254,0.635701
8,0.344043,0.628505,0.354758,0.588761
9,0.344763,0.627828,0.337004,0.629076
10,0.340511,0.631701,0.318946,0.639653
11,0.336307,0.635324,0.343462,0.622222
12,0.332449,0.639071,0.367133,0.614021
13,0.332612,0.638211,0.334367,0.629843
14,0.329955,0.640424,0.321232,0.66188
15,0.327838,0.643131,0.348803,0.60736
16,0.325529,0.644821,0.357651,0.615945
17,0.326319,0.644218,0.342145,0.641801
18,0.322636,0.648606,0.307343,0.64643
19,0.322466,0.647593,0.329073,0.629061
20,0.321366,0.648925,0.320383,0.637203
21,0.319513,0.64996,0.319146,0.644666
22,0.316409,0.65243,0.367035,0.611301
23,0.3174,0.65167,0.32671,0.639385
24,0.316694,0.652643,0.331717,0.633691
25,0.314308,0.654964,0.322881,0.641986
