epoch,train_loss,train_dice,val_loss,val_dice
1,0.636897,0.289084,0.574648,0.391907
2,0.511827,0.518041,0.486322,0.587255
3,0.440671,0.613298,0.431047,0.634326
4,0.38814,0.657988,0.382503,0.65301
5,0.350466,0.684709,0.344064,0.689066
6,0.323429,0.701596,0.333355,0.686873
7,0.302331,0.714251,0.31896,0.70328
8,0.289114,0.721156,0.302363,0.709413
9,0.27717,0.729094,0.295961,0.714374
10,0.27241,0.730532,0.292152,0.721991
11,0.265526,0.73507,0.275364,0.733712
12,0.264932,0.734221,0.264225,0.735677
13,0.258403,0.739058,0.292483,0.72542
14,0.254739,0.742218,0.262985,0.74964
15,0.252576,0.742465,0.259369,0.73434
16,0.249539,0.744965,0.267007,0.725963
17,0.248137,0.744837,0.26126,0.742408
18,0.247081,0.74595,0.258037,0.739207
19,0.246036,0.746778,0.281699,0.723808
20,0.244824,0.746959,0.267878,0.742369
21,0.241405,0.750209,0.261899,0.749334
22,0.241187,0.75014,0.254055,0.740816
23,0.238343,0.751675,0.252903,0.743977
24,0.236065,0.754099,0.254241,0.747081
25,0.237032,0.753482,0.252245,0.751876
