epoch,train_loss,train_dice,val_loss,val_dice,train_iou,train_precision,train_recall,train_accuracy,train_sensitivity,train_specificity,val_iou,val_precision,val_recall,val_accuracy,val_sensitivity,val_specificity
1,0.545134,0.4441,0.470626,0.559408,0.29927,0.309398,0.924918,0.759959,0.924918,0.745397,0.398771,0.425154,0.8667,0.891241,0.8667,0.890987
2,0.404084,0.617953,0.384487,0.648447,0.45695,0.482276,0.893436,0.91513,0.893436,0.916432,0.489759,0.527195,0.868516,0.928517,0.868516,0.931643
3,0.342781,0.676131,0.327499,0.687685,0.520908,0.554341,0.893604,0.935029,0.893604,0.938278,0.533303,0.575206,0.872003,0.941963,0.872003,0.946449
4,0.310774,0.700411,0.343241,0.720664,0.548588,0.586004,0.891728,0.942144,0.891728,0.946015,0.571897,0.666896,0.799793,0.955078,0.799793,0.967071
5,0.291899,0.71342,0.299711,0.720908,0.564165,0.602544,0.893673,0.945672,0.893673,0.949669,0.573012,0.630073,0.858522,0.951879,0.858522,0.958349
6,0.282998,0.719813,0.292162,0.710549,0.572249,0.612024,0.892788,0.947452,0.892788,0.951649,0.560455,0.606147,0.874004,0.947851,0.874004,0.95297
7,0.274779,0.724354,0.299149,0.734548,0.577302,0.616203,0.896664,0.948273,0.896664,0.952205,0.589874,0.670991,0.828937,0.956241,0.828937,0.965318
8,0.267021,0.73103,0.270706,0.73885,0.585572,0.624021,0.899795,0.949684,0.899795,0.953506,0.59773,0.652593,0.872755,0.953319,0.872755,0.958563
9,0.262693,0.734179,0.284599,0.740075,0.589161,0.627575,0.902079,0.950112,0.902079,0.953767,0.598133,0.667876,0.849488,0.955786,0.849488,0.963117
10,0.259202,0.736994,0.264551,0.734053,0.592489,0.631039,0.902102,0.950973,0.902102,0.954659,0.589463,0.634356,0.885206,0.952827,0.885206,0.957143
11,0.256176,0.739185,0.268248,0.747258,0.595121,0.632648,0.904844,0.951306,0.904844,0.954897,0.606106,0.670047,0.863728,0.956967,0.863728,0.963432
12,0.253001,0.741098,0.270326,0.724861,0.597631,0.634616,0.906605,0.95155,0.906605,0.95495,0.577409,0.619962,0.887395,0.950469,0.887395,0.954624
13,0.251343,0.742274,0.263306,0.739329,0.599473,0.636773,0.906566,0.951876,0.906566,0.955302,0.595961,0.645281,0.881977,0.953467,0.881977,0.958111
14,0.24901,0.7438,0.271018,0.730573,0.600949,0.637743,0.907644,0.95208,0.907644,0.955354,0.584454,0.634149,0.878071,0.951758,0.878071,0.956565
15,0.247647,0.744873,0.265467,0.739357,0.602516,0.639456,0.908437,0.952273,0.908437,0.955523,0.595619,0.645489,0.879187,0.954718,0.879187,0.959889
16,0.244094,0.747986,0.271692,0.736711,0.606229,0.642284,0.91099,0.952757,0.91099,0.955879,0.592314,0.646816,0.871321,0.954372,0.871321,0.960331
17,0.243214,0.748876,0.274163,0.743209,0.606873,0.642869,0.911841,0.952893,0.911841,0.956016,0.600604,0.661594,0.858751,0.956514,0.858751,0.963638
18,0.242075,0.749039,0.263334,0.745805,0.607054,0.642667,0.912281,0.952852,0.912281,0.955902,0.603685,0.662358,0.867458,0.95638,0.867458,0.9623
19,0.239456,0.751184,0.275177,0.731952,0.609952,0.645421,0.913738,0.953228,0.913738,0.956149,0.586506,0.644046,0.864077,0.953206,0.864077,0.959134
20,0.237757,0.753025,0.269262,0.736976,0.612256,0.647665,0.914205,0.953708,0.914205,0.956681,0.592938,0.645766,0.874039,0.953663,0.874039,0.958973
21,0.236876,0.753658,0.262883,0.732132,0.612804,0.648058,0.914519,0.953678,0.914519,0.956584,0.586234,0.631205,0.885868,0.951925,0.885868,0.956193
22,0.23547,0.754173,0.270042,0.742722,0.613306,0.647541,0.916836,0.953561,0.916836,0.956307,0.599191,0.657361,0.865357,0.955994,0.865357,0.962116
23,0.235338,0.754411,0.248892,0.74873,0.613757,0.648979,0.915474,0.953852,0.915474,0.956688,0.607409,0.652549,0.891111,0.955758,0.891111,0.95986
24,0.23602,0.753015,0.288654,0.729901,0.612596,0.647392,0.914665,0.953787,0.914665,0.956616,0.583016,0.648245,0.846817,0.953853,0.846817,0.961343
25,0.234496,0.754867,0.246313,0.753258,0.614578,0.649588,0.916378,0.954043,0.916378,0.956837,0.61389,0.65808,0.894423,0.957183,0.894423,0.961516
26,0.230988,0.757666,0.259661,0.736917,0.618025,0.651827,0.918766,0.954366,0.918766,0.956992,0.592639,0.637783,0.88816,0.953013,0.88816,0.957143
27,0.22949,0.758595,0.250852,0.749039,0.619042,0.652626,0.919231,0.95462,0.919231,0.957181,0.60823,0.653806,0.889744,0.956082,0.889744,0.960601
28,0.229492,0.759494,0.258082,0.745317,0.620133,0.65431,0.918932,0.954778,0.918932,0.957438,0.603331,0.654212,0.880277,0.955483,0.880277,0.960458
29,0.226223,0.762448,0.249421,0.752142,0.623554,0.656724,0.920861,0.955272,0.920861,0.957803,0.61208,0.660278,0.888199,0.956342,0.888199,0.960608
30,0.225384,0.761989,0.270679,0.733338,0.622721,0.655916,0.921073,0.95518,0.921073,0.957642,0.58819,0.641462,0.870443,0.952428,0.870443,0.957598
