sim_id,lr,batch_size,pos_weight,best_val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,elapsed_sec
1,0.001,2,3.0,0.5914,0.4248,0.9227,0.75,0.9353,2723.2
2,0.001,2,5.0,0.5823,0.4155,0.9149,0.7837,0.9238,2690.3
3,0.001,2,7.0,0.557,0.3906,0.9023,0.8244,0.9077,2705.2
4,0.001,4,3.0,0.5883,0.422,0.9212,0.761,0.9329,2491.5
5,0.001,4,5.0,0.5881,0.4215,0.9147,0.825,0.9214,2384.1
6,0.001,4,7.0,0.5505,0.3848,0.896,0.8596,0.8981,2390.2
7,0.0005,2,3.0,0.6022,0.4361,0.9297,0.717,0.9458,2677.1
8,0.0005,2,5.0,0.5837,0.4169,0.9107,0.8284,0.9162,2695.6
9,0.0005,2,7.0,0.5784,0.4116,0.907,0.8366,0.9111,2690.0
10,0.0005,4,3.0,0.6039,0.4379,0.9257,0.7725,0.9375,2405.1
11,0.0005,4,5.0,0.5795,0.4124,0.9092,0.8405,0.9138,2383.4
12,0.0005,4,7.0,0.5618,0.3949,0.9001,0.8532,0.9029,2398.3
13,0.0001,2,3.0,0.6036,0.4374,0.9288,0.7298,0.9433,2704.9
14,0.0001,2,5.0,0.5832,0.4165,0.9148,0.7929,0.9229,2686.1
15,0.0001,2,7.0,0.5651,0.3982,0.9054,0.8204,0.9111,2719.9
16,0.0001,4,3.0,0.5827,0.4156,0.917,0.787,0.9268,2404.7
17,0.0001,4,5.0,0.5579,0.3913,0.9038,0.8205,0.9095,2414.2
18,0.0001,4,7.0,0.5347,0.3696,0.8886,0.8607,0.8897,2404.1
