sim_id,lr,batch_size,pos_weight,best_val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,elapsed_sec
1,0.001,2,3.0,0.3684,0.2281,0.8613,0.5441,0.8846,334.1
2,0.001,2,5.0,0.3525,0.2161,0.8333,0.6061,0.8491,324.1
3,0.001,2,7.0,0.3188,0.1916,0.7854,0.6787,0.7908,322.2
4,0.001,4,3.0,0.3648,0.2253,0.8641,0.5298,0.8903,302.1
5,0.001,4,5.0,0.3571,0.2198,0.8449,0.5707,0.8651,306.1
6,0.001,4,7.0,0.3198,0.1926,0.8117,0.5992,0.8278,298.2
7,0.0005,2,3.0,0.3677,0.2283,0.875,0.4929,0.9032,327.4
8,0.0005,2,5.0,0.3487,0.2138,0.8542,0.532,0.8782,329.2
9,0.0005,2,7.0,0.3153,0.189,0.7713,0.7049,0.7737,327.0
10,0.0005,4,3.0,0.3476,0.2126,0.8348,0.5972,0.8527,304.2
11,0.0005,4,5.0,0.338,0.2056,0.8223,0.5985,0.8379,308.0
12,0.0005,4,7.0,0.3187,0.1916,0.795,0.6468,0.8054,306.1
13,0.0001,2,3.0,0.3513,0.2158,0.8734,0.4662,0.9049,325.3
14,0.0001,2,5.0,0.3119,0.1869,0.794,0.629,0.8053,326.5
15,0.0001,2,7.0,0.2612,0.1516,0.6757,0.7709,0.6652,328.7
16,0.0001,4,3.0,0.3283,0.1988,0.8398,0.529,0.8626,305.7
17,0.0001,4,5.0,0.3039,0.1812,0.8002,0.5819,0.8148,348.7
18,0.0001,4,7.0,0.2638,0.1535,0.6805,0.7663,0.6709,302.6
