epoch,train_loss,train_dice,val_loss,val_dice,train_iou,train_precision,train_recall,train_accuracy,train_sensitivity,train_specificity,val_iou,val_precision,val_recall,val_accuracy,val_sensitivity,val_specificity
1,0.880678,0.146507,0.844353,0.13976,0.079424,0.079424,1.0,0.079424,1.0,0.0,0.075622,0.075622,1.0,0.075622,1.0,0.0
2,0.760612,0.17751,0.6673,0.229618,0.098266,0.098563,0.982191,0.257004,0.982191,0.19458,0.130892,0.132618,0.913917,0.545152,0.913917,0.513815
3,0.589142,0.389456,0.527913,0.457085,0.24834,0.261732,0.857161,0.767429,0.857161,0.759337,0.300294,0.321111,0.822093,0.855645,0.822093,0.857038
4,0.491475,0.516779,0.478766,0.531681,0.353369,0.384556,0.815619,0.882218,0.815619,0.88761,0.366322,0.407553,0.782158,0.897444,0.782158,0.905424
5,0.458241,0.543624,0.435974,0.554962,0.378571,0.41303,0.822276,0.893753,0.822276,0.89974,0.388492,0.422917,0.825099,0.902881,0.825099,0.908411
6,0.439805,0.558655,0.432507,0.56633,0.392609,0.42757,0.828894,0.899456,0.828894,0.905162,0.399357,0.439708,0.811146,0.909083,0.811146,0.916111
7,0.426064,0.57102,0.431483,0.557115,0.404717,0.439637,0.836044,0.903622,0.836044,0.909113,0.390282,0.42392,0.829527,0.902484,0.829527,0.907359
8,0.414901,0.581101,0.404902,0.578422,0.414385,0.449081,0.842962,0.906442,0.842962,0.911457,0.411495,0.443814,0.84701,0.908686,0.84701,0.912646
9,0.407174,0.589089,0.411502,0.591762,0.422654,0.457875,0.846812,0.909,0.846812,0.914079,0.424914,0.470784,0.815201,0.915365,0.815201,0.922053
10,0.400474,0.594375,0.389818,0.608349,0.427765,0.462239,0.851035,0.910423,0.851035,0.915133,0.441882,0.485649,0.830621,0.919728,0.830621,0.92565
11,0.395743,0.599879,0.392055,0.600687,0.43326,0.468877,0.851131,0.912457,0.851131,0.917298,0.434228,0.4723,0.840681,0.918449,0.840681,0.924062
12,0.387328,0.605918,0.392674,0.603172,0.439341,0.473714,0.857141,0.91378,0.857141,0.918164,0.436627,0.476578,0.836715,0.919332,0.836715,0.925306
13,0.384203,0.608109,0.388573,0.615128,0.441822,0.47615,0.858728,0.914496,0.858728,0.918782,0.44896,0.49599,0.826049,0.922639,0.826049,0.929376
14,0.381387,0.611494,0.393906,0.591156,0.44524,0.480137,0.859154,0.915518,0.859154,0.919843,0.424193,0.457816,0.849973,0.914688,0.849973,0.919335
15,0.379736,0.612849,0.385043,0.586187,0.446682,0.481149,0.860647,0.915807,0.860647,0.920036,0.419451,0.44642,0.871842,0.909938,0.871842,0.912369
16,0.376248,0.616614,0.396407,0.60967,0.450463,0.48499,0.863041,0.916951,0.863041,0.921143,0.443997,0.498994,0.811653,0.920629,0.811653,0.927499
17,0.374373,0.617633,0.387504,0.589811,0.451711,0.485961,0.864785,0.917052,0.864785,0.921098,0.422486,0.452411,0.862837,0.911869,0.862837,0.915056
18,0.371217,0.61969,0.371661,0.622751,0.453403,0.487109,0.867007,0.917305,0.867007,0.921167,0.456998,0.499105,0.840281,0.925321,0.840281,0.931161
19,0.36863,0.622842,0.384845,0.601685,0.456836,0.491097,0.868518,0.918389,0.868518,0.922294,0.434588,0.46887,0.853141,0.916846,0.853141,0.921051
20,0.367412,0.623448,0.377571,0.618217,0.457415,0.491393,0.868213,0.918424,0.868213,0.922314,0.451928,0.493717,0.841074,0.922482,0.841074,0.927942
21,0.363682,0.625574,0.385794,0.605912,0.459735,0.492794,0.87216,0.918896,0.87216,0.922489,0.438909,0.479253,0.837433,0.918983,0.837433,0.924313
22,0.363175,0.626271,0.388384,0.607832,0.460326,0.493715,0.871742,0.919236,0.871742,0.922808,0.441656,0.483851,0.83439,0.921006,0.83439,0.927241
23,0.359937,0.62895,0.366527,0.632187,0.46302,0.495933,0.873967,0.919684,0.873967,0.923167,0.466838,0.510779,0.842439,0.927537,0.842439,0.933417
24,0.361617,0.627811,0.376965,0.617844,0.462056,0.495508,0.871977,0.919634,0.871977,0.923238,0.451223,0.4916,0.843138,0.923033,0.843138,0.928567
25,0.35659,0.631691,0.353839,0.624494,0.466154,0.49898,0.875071,0.920499,0.875071,0.923892,0.458779,0.489962,0.874636,0.922836,0.874636,0.925982
26,0.354261,0.63356,0.374061,0.609462,0.467902,0.500212,0.878294,0.920803,0.878294,0.924073,0.442551,0.476756,0.85755,0.919276,0.85755,0.923115
27,0.354423,0.633843,0.356293,0.634284,0.468191,0.500752,0.876862,0.92112,0.876862,0.92445,0.469526,0.510789,0.852511,0.926752,0.852511,0.931443
28,0.353567,0.634437,0.381532,0.625196,0.468898,0.501418,0.877485,0.921036,0.877485,0.924308,0.459384,0.510793,0.820878,0.926518,0.820878,0.933551
29,0.351945,0.634902,0.354919,0.62355,0.46939,0.501231,0.879981,0.920985,0.879981,0.92409,0.45765,0.489631,0.870717,0.922595,0.870717,0.925784
30,0.350516,0.636015,0.375138,0.606526,0.470504,0.502515,0.87928,0.921622,0.87928,0.92474,0.43953,0.471237,0.864023,0.91692,0.864023,0.920114
