sim_id,lr,batch_size,pos_weight,best_val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,elapsed_sec
1,0.001,2,3.0,0.6426,0.4787,0.936,0.7736,0.9473,1960.9
2,0.001,2,5.0,0.6258,0.4613,0.9234,0.8466,0.9281,1947.3
3,0.001,2,7.0,0.6136,0.4488,0.9219,0.8321,0.9279,1993.6
4,0.001,4,3.0,0.6395,0.4755,0.9369,0.7581,0.9499,1708.7
5,0.001,4,5.0,0.6026,0.4364,0.9237,0.7794,0.9335,1679.5
6,0.001,4,7.0,0.617,0.4516,0.9195,0.8696,0.9223,1716.9
7,0.0005,2,3.0,0.6387,0.4747,0.9324,0.8045,0.9415,1943.8
8,0.0005,2,5.0,0.6411,0.4775,0.9306,0.8284,0.9376,1946.1
9,0.0005,2,7.0,0.5891,0.423,0.9144,0.8334,0.9199,1955.9
10,0.0005,4,3.0,0.6272,0.462,0.9296,0.7977,0.9388,1687.3
11,0.0005,4,5.0,0.6019,0.4354,0.9186,0.8333,0.9245,1690.4
12,0.0005,4,7.0,0.6082,0.4426,0.9227,0.8032,0.9304,1711.0
13,0.0001,2,3.0,0.6135,0.4473,0.9281,0.77,0.9397,1921.6
14,0.0001,2,5.0,0.573,0.4058,0.9098,0.8231,0.9158,1926.2
15,0.0001,2,7.0,0.5466,0.3804,0.8964,0.8277,0.9002,1968.6
16,0.0001,4,3.0,0.5265,0.3607,0.8944,0.7877,0.9017,1679.6
17,0.0001,4,5.0,0.5764,0.4091,0.9098,0.8209,0.9157,1794.9
18,0.0001,4,7.0,0.5582,0.3911,0.9026,0.8139,0.9083,1672.7
