sim_id,lr,batch_size,pos_weight,best_val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,elapsed_sec
1,0.001,2,3.0,0.6069,0.4412,0.9228,0.7901,0.9319,2539.9
2,0.001,2,5.0,0.588,0.4213,0.9187,0.7709,0.9294,2451.3
3,0.001,2,7.0,0.5841,0.4171,0.908,0.8501,0.9115,2409.4
4,0.001,4,3.0,0.6148,0.4493,0.9296,0.7595,0.9424,2132.9
5,0.001,4,5.0,0.5947,0.4281,0.9188,0.7857,0.9282,2221.4
6,0.001,4,7.0,0.5584,0.3919,0.8989,0.8494,0.9017,2134.8
7,0.0005,2,3.0,0.6081,0.4421,0.9239,0.7865,0.9338,2433.0
8,0.0005,2,5.0,0.5996,0.4329,0.9148,0.8548,0.9191,2444.7
9,0.0005,2,7.0,0.5726,0.4054,0.9062,0.8355,0.9108,2423.7
10,0.0005,4,3.0,0.6103,0.4443,0.9244,0.7998,0.9336,2142.7
11,0.0005,4,5.0,0.581,0.4142,0.9111,0.8226,0.9173,2149.6
12,0.0005,4,7.0,0.5656,0.3986,0.9008,0.8515,0.9037,2129.3
13,0.0001,2,3.0,0.5967,0.4299,0.9212,0.7897,0.9311,2454.5
14,0.0001,2,5.0,0.5641,0.3977,0.9107,0.7746,0.9201,2486.8
15,0.0001,2,7.0,0.548,0.3816,0.8955,0.8434,0.8984,2412.0
16,0.0001,4,3.0,0.5526,0.3864,0.906,0.7952,0.9143,2125.7
17,0.0001,4,5.0,0.55,0.3837,0.8963,0.8481,0.899,2163.0
18,0.0001,4,7.0,0.53,0.3647,0.8863,0.8648,0.887,2146.1
