image_name,vessel_pixel_count,vessel_area_ratio,vessel_density
0005_im.png,9508,0.1451,0.1451
0009_im.png,9678,0.1477,0.1477
0013_im.png,9248,0.1411,0.1411
0015_im.png,9065,0.1383,0.1383
0016_im.png,7427,0.1133,0.1133
0022_im.png,9391,0.1433,0.1433
0023_im.png,9711,0.1482,0.1482
0060_im.png,6701,0.1022,0.1022
0067_im.png,7752,0.1183,0.1183
0075_im.png,8179,0.1248,0.1248
0076_im.png,7151,0.1091,0.1091
0084_im.png,6049,0.0923,0.0923
0089_im.png,7229,0.1103,0.1103
0093_im.png,8043,0.1227,0.1227
0097_im.png,8204,0.1252,0.1252
0101_im.png,9225,0.1408,0.1408
0107_im.png,7551,0.1152,0.1152
0117_im.png,7976,0.1217,0.1217
0119_im.png,8642,0.1319,0.1319
0120_im.png,7783,0.1188,0.1188
0132_im.png,6205,0.0947,0.0947
0133_im.png,4233,0.0646,0.0646
0146_im.png,7070,0.1079,0.1079
0149_im.png,4972,0.0759,0.0759
0156_im.png,7307,0.1115,0.1115
0159_im.png,7864,0.12,0.12
0165_im.png,5605,0.0855,0.0855
0172_im.png,6394,0.0976,0.0976
0173_im.png,5844,0.0892,0.0892
0178_im.png,7275,0.111,0.111
0179_im.png,4857,0.0741,0.0741
0180_im.png,5423,0.0827,0.0827
0185_im.png,3326,0.0508,0.0508
0187_im.png,6444,0.0983,0.0983
0189_im.png,0,0.0,0.0
0190_im.png,0,0.0,0.0
0193_im.png,5946,0.0907,0.0907
0194_im.png,7403,0.113,0.113
0199_im.png,7004,0.1069,0.1069
0201_im.png,8433,0.1287,0.1287
0202_im.png,5778,0.0882,0.0882
0208_im.png,6950,0.106,0.106
0212_im.png,6637,0.1013,0.1013
0219_im.png,6725,0.1026,0.1026
0222_im.png,7909,0.1207,0.1207
0231_im.png,8286,0.1264,0.1264
0248_im.png,6872,0.1049,0.1049
0252_im.png,8605,0.1313,0.1313
0263_im.png,8189,0.125,0.125
0266_im.png,8354,0.1275,0.1275
0269_im.png,6846,0.1045,0.1045
0283_im.png,7519,0.1147,0.1147
0289_im.png,6630,0.1012,0.1012
0290_im.png,8329,0.1271,0.1271
0292_im.png,3788,0.0578,0.0578
0295_im.png,7544,0.1151,0.1151
0298_im.png,7897,0.1205,0.1205
0303_im.png,1895,0.0289,0.0289
0304_im.png,8007,0.1222,0.1222
0310_im.png,7579,0.1156,0.1156
0313_im.png,8592,0.1311,0.1311
0314_im.png,2283,0.0348,0.0348
0315_im.png,6674,0.1018,0.1018
0316_im.png,7406,0.113,0.113
0318_im.png,8092,0.1235,0.1235
0319_im.png,8340,0.1273,0.1273
0320_im.png,6666,0.1017,0.1017
0334_im.png,8300,0.1266,0.1266
0342_im.png,7369,0.1124,0.1124
0346_im.png,7518,0.1147,0.1147
0348_im.png,8180,0.1248,0.1248
0352_im.png,6735,0.1028,0.1028
0355_im.png,7782,0.1187,0.1187
0377_im.png,4241,0.0647,0.0647
0395_im.png,5234,0.0799,0.0799
0397_im.png,6877,0.1049,0.1049
0402_im.png,8376,0.1278,0.1278
0410_im.png,8663,0.1322,0.1322
0412_im.png,2564,0.0391,0.0391
0415_im.png,6465,0.0986,0.0986
0416_im.png,8667,0.1322,0.1322
0419_im.png,5369,0.0819,0.0819
0422_im.png,7515,0.1147,0.1147
0427_im.png,7269,0.1109,0.1109
0428_im.png,6784,0.1035,0.1035
0429_im.png,5542,0.0846,0.0846
0438_im.png,8780,0.134,0.134
0450_im.png,7642,0.1166,0.1166
0452_im.png,7118,0.1086,0.1086
0453_im.png,8738,0.1333,0.1333
0458_im.png,6550,0.0999,0.0999
0463_im.png,8195,0.125,0.125
0472_im.png,694,0.0106,0.0106
0477_im.png,6559,0.1001,0.1001
0478_im.png,7716,0.1177,0.1177
0479_im.png,7323,0.1117,0.1117
0484_im.png,5551,0.0847,0.0847
0485_im.png,3617,0.0552,0.0552
0486_im.png,4052,0.0618,0.0618
0490_im.png,9231,0.1409,0.1409
0492_im.png,5229,0.0798,0.0798
0493_im.png,655,0.01,0.01
0499_im.png,4565,0.0697,0.0697
0500_im.png,6861,0.1047,0.1047
0507_im.png,569,0.0087,0.0087
0511_im.png,7742,0.1181,0.1181
0520_im.png,5010,0.0764,0.0764
0528_im.png,8169,0.1246,0.1246
0529_im.png,4200,0.0641,0.0641
0536_im.png,5885,0.0898,0.0898
0538_im.png,8271,0.1262,0.1262
0543_im.png,7032,0.1073,0.1073
0551_im.png,6972,0.1064,0.1064
0557_im.png,4005,0.0611,0.0611
0558_im.png,8846,0.135,0.135
0562_im.png,7914,0.1208,0.1208
0566_im.png,6412,0.0978,0.0978
0593_im.png,8571,0.1308,0.1308
0597_im.png,7801,0.119,0.119
